Revised Common Lectionary
Scripture Citations for Year A - All Seasons
https://lectionary.library.vanderbilt.edu/calendar/2025-26/?season=all&download=csv

Liturgical Date,Calendar Date,First reading,Psalm,Second reading,Gospel,Art,Prayer
"First Sunday of Advent","Nov 30, 2025","Isaiah 2:1-5","Psalm 122","Romans 13:11-14","Matthew 24:36-44",http://diglib.library.vanderbilt.edu/act-processquery.pl?code=ACT&SortOrder=Title&LectionaryLink=AAdvt01,https://lectionary.library.vanderbilt.edu/prayer/?y=17134&season=advent&d=1st_sunday_in_advent
"Second Sunday of Advent","Dec 07, 2025","Isaiah 11:1-10","Psalm 72:1-7, 18-19","Romans 15:4-13","Matthew 3:1-12",http://diglib.library.vanderbilt.edu/act-processquery.pl?code=ACT&SortOrder=Title&LectionaryLink=AAdvt02,https://lectionary.library.vanderbilt.edu/prayer/?y=17134&season=advent&d=2nd_sunday_in_advent
"Third Sunday of Advent","Dec 14, 2025","Isaiah 35:1-10","Psalm 146:5-10 or Luke 1:46b-55","James 5:7-10","Matthew 11:2-11",http://diglib.library.vanderbilt.edu/act-processquery.pl?code=ACT&SortOrder=Title&LectionaryLink=AAdvt03,https://lectionary.library.vanderbilt.edu/prayer/?y=17134&season=advent&d=3rd_sunday_in_advent
"Fourth Sunday of Advent","Dec 21, 2025","Isaiah 7:10-16","Psalm 80:1-7, 17-19","Romans 1:1-7","Matthew 1:18-25",http://diglib.library.vanderbilt.edu/act-processquery.pl?code=ACT&SortOrder=Title&LectionaryLink=AAdvt04,https://lectionary.library.vanderbilt.edu/prayer/?y=17134&season=advent&d=4th_sunday_in_advent
"Holy Name of Jesus","Jan 01, 2026","Numbers 6:22-27","Psalm 8","Galatians 4:4-7 or Philippians 2:5-11","Luke 2:15-21",http://diglib.library.vanderbilt.edu/act-processquery.pl?code=ACT&SortOrder=Title&LectionaryLink=AHNam,https://lectionary.library.vanderbilt.edu/prayer/?y=17134&season=christmas&d=christmas5
"New Year's Day","Jan 01, 2026","Ecclesiastes 3:1-13","Psalm 8","Revelation 21:1-6a","Matthew 25:31-46",http://diglib.library.vanderbilt.edu/act-processquery.pl?code=ACT&SortOrder=Title&LectionaryLink=ANYDy,https://lectionary.library.vanderbilt.edu/prayer/?y=17134&season=christmas&d=christmas6
"Second Sunday after Christmas Day","Jan 04, 2026","Jeremiah 31:7-14 or Sirach 24:1-12","Psalm 147:12-20 or Wisdom of Solomon 10:15-21","Ephesians 1:3-14","John 1:(1-9), 10-18",http://diglib.library.vanderbilt.edu/act-processquery.pl?code=ACT&SortOrder=Title&LectionaryLink=AXmas02,https://lectionary.library.vanderbilt.edu/prayer/?y=17134&season=christmas&d=christmas7
"Nativity of the Lord - Proper I","Dec 24, 2025","Isaiah 9:2-7","Psalm 96","Titus 2:11-14","Luke 2:1-14, (15-20)",http://diglib.library.vanderbilt.edu/act-processquery.pl?code=ACT&SortOrder=Title&LectionaryLink=ANatv,https://lectionary.library.vanderbilt.edu/prayer/?y=17134&season=christmas&d=christmas1
"Nativity of the Lord - Proper II","Dec 25, 2025","Isaiah 62:6-12","Psalm 97","Titus 3:4-7","Luke 2:(1-7), 8-20",http://diglib.library.vanderbilt.edu/act-processquery.pl?code=ACT&SortOrder=Title&LectionaryLink=ANatv,https://lectionary.library.vanderbilt.edu/prayer/?y=17134&season=christmas&d=christmas2
"Nativity of the Lord - Proper III","Dec 25, 2025","Isaiah 52:7-10","Psalm 98","Hebrews 1:1-4, (5-12)","John 1:1-14",http://diglib.library.vanderbilt.edu/act-processquery.pl?code=ACT&SortOrder=Title&LectionaryLink=ANatv,https://lectionary.library.vanderbilt.edu/prayer/?y=17134&season=christmas&d=christmas3
"First Sunday after Christmas Day","Dec 28, 2025","Isaiah 63:7-9","Psalm 148","Hebrews 2:10-18","Matthew 2:13-23",http://diglib.library.vanderbilt.edu/act-processquery.pl?code=ACT&SortOrder=Title&LectionaryLink=AXmas01,https://lectionary.library.vanderbilt.edu/prayer/?y=17134&season=christmas&d=christmas4
"Epiphany of the Lord","Jan 06, 2026","Isaiah 60:1-6","Psalm 72:1-7, 10-14","Ephesians 3:1-12","Matthew 2:1-12",http://diglib.library.vanderbilt.edu/act-processquery.pl?code=ACT&SortOrder=Title&LectionaryLink=AEpDy,https://lectionary.library.vanderbilt.edu/prayer/?y=17134&season=epiphany&d=christmas8
"Baptism of the Lord","Jan 11, 2026","Isaiah 42:1-9","Psalm 29","Acts 10:34-43","Matthew 3:13-17",http://diglib.library.vanderbilt.edu/act-processquery.pl?code=ACT&SortOrder=Title&LectionaryLink=AEpip01,https://lectionary.library.vanderbilt.edu/prayer/?y=17134&season=epiphany&d=epiphany1
"Second Sunday after the Epiphany","Jan 18, 2026","Isaiah 49:1-7","Psalm 40:1-11","1 Corinthians 1:1-9","John 1:29-42",http://diglib.library.vanderbilt.edu/act-processquery.pl?code=ACT&SortOrder=Title&LectionaryLink=AEpip02,https://lectionary.library.vanderbilt.edu/prayer/?y=17134&season=epiphany&d=epiphany2
