Revised Common Lectionary
Scripture Citations for Year B - All Seasons
https://lectionary.library.vanderbilt.edu/calendar/2026-27/?season=all&download=csv

Liturgical Date,Calendar Date,First reading,Psalm,Second reading,Gospel,Art,Prayer
"First Sunday of Advent","Nov 29, 2026","Isaiah 64:1-9","Psalm 80:1-7, 17-19","1 Corinthians 1:3-9","Mark 13:24-37",http://diglib.library.vanderbilt.edu/act-processquery.pl?code=ACT&SortOrder=Title&LectionaryLink=BAdvt01,https://lectionary.library.vanderbilt.edu/prayer/?y=18921&season=advent&d=1st_sunday_in_advent
"Second Sunday of Advent","Dec 06, 2026","Isaiah 40:1-11","Psalm 85:1-2, 8-13","2 Peter 3:8-15a","Mark 1:1-8",http://diglib.library.vanderbilt.edu/act-processquery.pl?code=ACT&SortOrder=Title&LectionaryLink=BAdvt02,https://lectionary.library.vanderbilt.edu/prayer/?y=18921&season=advent&d=2nd_sunday_in_advent
"Third Sunday of Advent","Dec 13, 2026","Isaiah 61:1-4, 8-11","Psalm 126 or Luke 1:46b-55","1 Thessalonians 5:16-24","John 1:6-8, 19-28",http://diglib.library.vanderbilt.edu/act-processquery.pl?code=ACT&SortOrder=Title&LectionaryLink=BAdvt03,https://lectionary.library.vanderbilt.edu/prayer/?y=18921&season=advent&d=3rd_sunday_in_advent
"Fourth Sunday of Advent","Dec 20, 2026","2 Samuel 7:1-11, 16","Luke 1:46b-55 or Psalm 89:1-4, 19-26","Romans 16:25-27","Luke 1:26-38",http://diglib.library.vanderbilt.edu/act-processquery.pl?code=ACT&SortOrder=Title&LectionaryLink=BAdvt04,https://lectionary.library.vanderbilt.edu/prayer/?y=18921&season=advent&d=4th_sunday_in_advent
"Holy Name of Jesus","Jan 01, 2027","Numbers 6:22-27","Psalm 8","Galatians 4:4-7 or Philippians 2:5-11","Luke 2:15-21",http://diglib.library.vanderbilt.edu/act-processquery.pl?code=ACT&SortOrder=Title&LectionaryLink=BHNam,https://lectionary.library.vanderbilt.edu/prayer/?y=18921&season=christmas&d=christmas5
"New Year's Day","Jan 01, 2027","Ecclesiastes 3:1-13","Psalm 8","Revelation 21:1-6a","Matthew 25:31-46",http://diglib.library.vanderbilt.edu/act-processquery.pl?code=ACT&SortOrder=Title&LectionaryLink=BNYDy,https://lectionary.library.vanderbilt.edu/prayer/?y=18921&season=christmas&d=christmas6
"Second Sunday after Christmas Day","Jan 03, 2027","Jeremiah 31:7-14 or Sirach 24:1-12","Psalm 147:12-20 or Wisdom of Solomon 10:15-21","Ephesians 1:3-14","John 1:(1-9), 10-18",http://diglib.library.vanderbilt.edu/act-processquery.pl?code=ACT&SortOrder=Title&LectionaryLink=BXmas02,https://lectionary.library.vanderbilt.edu/prayer/?y=18921&season=christmas&d=christmas7
"Nativity of the Lord - Proper I","Dec 24, 2026","Isaiah 9:2-7","Psalm 96","Titus 2:11-14","Luke 2:1-14, (15-20)",http://diglib.library.vanderbilt.edu/act-processquery.pl?code=ACT&SortOrder=Title&LectionaryLink=BNatv,https://lectionary.library.vanderbilt.edu/prayer/?y=18921&season=christmas&d=christmas1
"Nativity of the Lord - Proper II","Dec 25, 2026","Isaiah 62:6-12","Psalm 97","Titus 3:4-7","Luke 2:(1-7), 8-20",http://diglib.library.vanderbilt.edu/act-processquery.pl?code=ACT&SortOrder=Title&LectionaryLink=BNatv,https://lectionary.library.vanderbilt.edu/prayer/?y=18921&season=christmas&d=christmas2
"Nativity of the Lord - Proper III","Dec 25, 2026","Isaiah 52:7-10","Psalm 98","Hebrews 1:1-4, (5-12)","John 1:1-14",http://diglib.library.vanderbilt.edu/act-processquery.pl?code=ACT&SortOrder=Title&LectionaryLink=BNatv,https://lectionary.library.vanderbilt.edu/prayer/?y=18921&season=christmas&d=christmas3
