Revised Common Lectionary
Scripture Citations for Year C - All Seasons
https://lectionary.library.vanderbilt.edu/calendar/2024-25/?season=all&download=csv

Liturgical Date,Calendar Date,First reading,Psalm,Second reading,Gospel,Art,Prayer
"First Sunday of Advent","Dec 01, 2024","Jeremiah 33:14-16","Psalm 25:1-10","1 Thessalonians 3:9-13","Luke 21:25-36",http://diglib.library.vanderbilt.edu/act-processquery.pl?code=ACT&SortOrder=Title&LectionaryLink=CAdvt01,https://lectionary.library.vanderbilt.edu/prayer/?y=384&season=advent&d=1st_sunday_in_advent
"Second Sunday of Advent","Dec 08, 2024","Baruch 5:1-9 or Malachi 3:1-4","Luke 1:68-79","Philippians 1:3-11","Luke 3:1-6",http://diglib.library.vanderbilt.edu/act-processquery.pl?code=ACT&SortOrder=Title&LectionaryLink=CAdvt02,https://lectionary.library.vanderbilt.edu/prayer/?y=384&season=advent&d=2nd_sunday_in_advent
"Third Sunday of Advent","Dec 15, 2024","Zephaniah 3:14-20","Isaiah 12:2-6","Philippians 4:4-7","Luke 3:7-18",http://diglib.library.vanderbilt.edu/act-processquery.pl?code=ACT&SortOrder=Title&LectionaryLink=CAdvt03,https://lectionary.library.vanderbilt.edu/prayer/?y=384&season=advent&d=3rd_sunday_in_advent
"Fourth Sunday of Advent","Dec 22, 2024","Micah 5:2-5a","Luke 1:46b-55 or Psalm 80:1-7","Hebrews 10:5-10","Luke 1:39-45, (46-55)",http://diglib.library.vanderbilt.edu/act-processquery.pl?code=ACT&SortOrder=Title&LectionaryLink=CAdvt04,https://lectionary.library.vanderbilt.edu/prayer/?y=384&season=advent&d=4th_sunday_in_advent
"Holy Name of Jesus","Jan 01, 2025","Numbers 6:22-27","Psalm 8","Galatians 4:4-7 or Philippians 2:5-11","Luke 2:15-21",http://diglib.library.vanderbilt.edu/act-processquery.pl?code=ACT&SortOrder=Title&LectionaryLink=CHNam,https://lectionary.library.vanderbilt.edu/prayer/?y=384&season=christmas&d=christmas5
"New Year's Day","Jan 01, 2025","Ecclesiastes 3:1-13","Psalm 8","Revelation 21:1-6a","Matthew 25:31-46",http://diglib.library.vanderbilt.edu/act-processquery.pl?code=ACT&SortOrder=Title&LectionaryLink=CNYDy,https://lectionary.library.vanderbilt.edu/prayer/?y=384&season=christmas&d=christmas6
"Second Sunday after Christmas Day","Jan 05, 2025","Jeremiah 31:7-14 or Sirach 24:1-12","Psalm 147:12-20 or Wisdom of Solomon 10:15-21","Ephesians 1:3-14","John 1:(1-9), 10-18",http://diglib.library.vanderbilt.edu/act-processquery.pl?code=ACT&SortOrder=Title&LectionaryLink=CXmas02,https://lectionary.library.vanderbilt.edu/prayer/?y=384&season=christmas&d=christmas7
"Nativity of the Lord - Proper I","Dec 24, 2024","Isaiah 9:2-7","Psalm 96","Titus 2:11-14","Luke 2:1-14, (15-20)",http://diglib.library.vanderbilt.edu/act-processquery.pl?code=ACT&SortOrder=Title&LectionaryLink=CNatv,https://lectionary.library.vanderbilt.edu/prayer/?y=384&season=christmas&d=christmas1
"Nativity of the Lord - Proper II","Dec 25, 2024","Isaiah 62:6-12","Psalm 97","Titus 3:4-7","Luke 2:(1-7), 8-20",http://diglib.library.vanderbilt.edu/act-processquery.pl?code=ACT&SortOrder=Title&LectionaryLink=CNatv,https://lectionary.library.vanderbilt.edu/prayer/?y=384&season=christmas&d=christmas2
"Nativity of the Lord - Proper III","Dec 25, 2024","Isaiah 52:7-10","Psalm 98","Hebrews 1:1-4, (5-12)","John 1:1-14",http://diglib.library.vanderbilt.edu/act-processquery.pl?code=ACT&SortOrder=Title&LectionaryLink=CNatv,https://lectionary.library.vanderbilt.edu/prayer/?y=384&season=christmas&d=christmas3
"First Sunday after Christmas Day","Dec 29, 2024","1 Samuel 2:18-20, 26","Psalm 148","Colossians 3:12-17","Luke 2:41-52",http://diglib.library.vanderbilt.edu/act-processquery.pl?code=ACT&SortOrder=Title&LectionaryLink=CXmas01,https://lectionary.library.vanderbilt.edu/prayer/?y=384&season=christmas&d=christmas4
"Epiphany of the Lord","Jan 06, 2025","Isaiah 60:1-6","Psalm 72:1-7, 10-14","Ephesians 3:1-12","Matthew 2:1-12",http://diglib.library.vanderbilt.edu/act-processquery.pl?code=ACT&SortOrder=Title&LectionaryLink=CEpDy,https://lectionary.library.vanderbilt.edu/prayer/?y=384&season=epiphany&d=christmas8
"Baptism of the Lord","Jan 12, 2025","Isaiah 43:1-7","Psalm 29","Acts 8:14-17","Luke 3:15-17, 21-22",http://diglib.library.vanderbilt.edu/act-processquery.pl?code=ACT&SortOrder=Title&LectionaryLink=CEpip01,https://lectionary.library.vanderbilt.edu/prayer/?y=384&season=epiphany&d=epiphany1
"Second Sunday after the Epiphany","Jan 19, 2025","Isaiah 62:1-5","Psalm 36:5-10","1 Corinthians 12:1-11","John 2:1-11",http://diglib.library.vanderbilt.edu/act-processquery.pl?code=ACT&SortOrder=Title&LectionaryLink=CEpip02,https://lectionary.library.vanderbilt.edu/prayer/?y=384&season=epiphany&d=epiphany2
"Third Sunday after the Epiphany","Jan 26, 2025","Nehemiah 8:1-3, 5-6, 8-10","Psalm 19","1 Corinthians 12:12-31a","Luke 4:14-21",http://diglib.library.vanderbilt.edu/act-processquery.pl?code=ACT&SortOrder=Title&LectionaryLink=CEpip03,https://lectionary.library.vanderbilt.edu/prayer/?y=384&season=epiphany&d=epiphany3
"Fourth Sunday after the Epiphany","Feb 02, 2025","Jeremiah 1:4-10","Psalm 71:1-6","1 Corinthians 13:1-13","Luke 4:21-30",http://diglib.library.vanderbilt.edu/act-processquery.pl?code=ACT&SortOrder=Title&LectionaryLink=CEpip04,https://lectionary.library.vanderbilt.edu/prayer/?y=384&season=epiphany&d=epiphany4
"Presentation of the Lord","Feb 02, 2025","Malachi 3:1-4","Psalm 84 or Psalm 24:7-10","Hebrews 2:14-18","Luke 2:22-40",http://diglib.library.vanderbilt.edu/act-processquery.pl?code=ACT&SortOrder=Title&LectionaryLink=CPres,https://lectionary.library.vanderbilt.edu/prayer/?y=384&season=epiphany&d=epiphany5
"Fifth Sunday after the Epiphany","Feb 09, 2025","Isaiah 6:1-8, (9-13)","Psalm 138","1 Corinthians 15:1-11","Luke 5:1-11",http://diglib.library.vanderbilt.edu/act-processquery.pl?code=ACT&SortOrder=Title&LectionaryLink=CEpip05,https://lectionary.library.vanderbilt.edu/prayer/?y=384&season=epiphany&d=epiphany6
